Dbid,Status,Name,Type,Layer,GUID,SETS
2,N/A,<No level>,Layer,<No level>,,
6,N/A,Lances,Category,<No level>,,
7,N/A,Lance monolítico,Family,<No level>,,
8,N/A,13cm,Type,<No level>,,
9,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020d82,
10,N/A,@Concreto,Solid,<No level>,,
11,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020a55,
12,N/A,@Concreto,Solid,<No level>,,
13,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bef,
14,N/A,@Concreto,Solid,<No level>,,
15,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020be1,
16,N/A,@Concreto,Solid,<No level>,,
17,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020be7,
18,N/A,@Concreto,Solid,<No level>,,
19,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf9,
20,N/A,@Concreto,Solid,<No level>,,
21,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bff,
22,N/A,@Concreto,Solid,<No level>,,
23,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf1,
24,N/A,@Concreto,Solid,<No level>,,
25,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf7,
26,N/A,@Concreto,Solid,<No level>,,
27,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc9,
28,N/A,@Concreto,Solid,<No level>,,
29,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bcf,
30,N/A,@Concreto,Solid,<No level>,,
31,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc1,
32,N/A,@Concreto,Solid,<No level>,,
33,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc7,
34,N/A,@Concreto,Solid,<No level>,,
35,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd9,
36,N/A,@Concreto,Solid,<No level>,,
37,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bdf,
38,N/A,@Concreto,Solid,<No level>,,
39,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd1,
40,N/A,@Concreto,Solid,<No level>,,
41,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd7,
42,N/A,@Concreto,Solid,<No level>,,
43,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020829,
44,N/A,@Concreto,Solid,<No level>,,
45,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02082f,
46,N/A,@Concreto,Solid,<No level>,,
47,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020821,
48,N/A,@Concreto,Solid,<No level>,,
49,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020827,
50,N/A,@Concreto,Solid,<No level>,,
51,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020839,
52,N/A,@Concreto,Solid,<No level>,,
53,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02083f,
54,N/A,@Concreto,Solid,<No level>,,
55,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020831,
56,N/A,@Concreto,Solid,<No level>,,
57,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020837,
58,N/A,@Concreto,Solid,<No level>,,
59,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020809,
60,N/A,@Concreto,Solid,<No level>,,
61,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02080f,
62,N/A,@Concreto,Solid,<No level>,,
63,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020801,
64,N/A,@Concreto,Solid,<No level>,,
65,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020807,
66,N/A,@Concreto,Solid,<No level>,,
67,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020819,
68,N/A,@Concreto,Solid,<No level>,,
69,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02081f,
70,N/A,@Concreto,Solid,<No level>,,
71,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020811,
72,N/A,@Concreto,Solid,<No level>,,
73,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020817,
74,N/A,@Concreto,Solid,<No level>,,
75,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020869,
76,N/A,@Concreto,Solid,<No level>,,
77,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02086f,
78,N/A,@Concreto,Solid,<No level>,,
79,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020861,
80,N/A,@Concreto,Solid,<No level>,,
81,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020867,
82,N/A,@Concreto,Solid,<No level>,,
83,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020879,
84,N/A,@Concreto,Solid,<No level>,,
85,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02087f,
86,N/A,@Concreto,Solid,<No level>,,
87,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020871,
88,N/A,@Concreto,Solid,<No level>,,
89,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020877,
90,N/A,@Concreto,Solid,<No level>,,
91,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020849,
92,N/A,@Concreto,Solid,<No level>,,
93,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02084f,
94,N/A,@Concreto,Solid,<No level>,,
95,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020841,
96,N/A,@Concreto,Solid,<No level>,,
97,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02085c,
98,N/A,@Concreto,Solid,<No level>,,
99,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02085e,
100,N/A,@Concreto,Solid,<No level>,,
101,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2ee5,
102,N/A,@Concreto,Solid,<No level>,,
103,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2fc8,
104,N/A,@Concreto,Solid,<No level>,,
105,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2ff3,
106,N/A,@Concreto,Solid,<No level>,,
107,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2985,
108,N/A,@Concreto,Solid,<No level>,,
109,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c264e,
110,N/A,@Concreto,Solid,<No level>,,
111,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c26a2,
112,N/A,@Concreto,Solid,<No level>,,
113,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab74603,
114,N/A,@Concreto,Solid,<No level>,,
115,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab74672,
116,N/A,@Concreto,Solid,<No level>,,
117,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab746da,
118,N/A,@Concreto,Solid,<No level>,,
119,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab7598d,
120,N/A,@Concreto,Solid,<No level>,,
121,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab759cc,
122,N/A,@Concreto,Solid,<No level>,,
123,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab75a12,
124,N/A,@Concreto,Solid,<No level>,,
125,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab75a22,
126,N/A,@Concreto,Solid,<No level>,,
127,N/A,Linhas,Category,<No level>,,
128,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6c,
129,N/A,,Solid,<No level>,,
130,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6d,
131,N/A,,Solid,<No level>,,
132,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6e,
133,N/A,,Solid,<No level>,,
134,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6f,
135,N/A,,Solid,<No level>,,
136,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a68,
137,N/A,,Solid,<No level>,,
138,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a69,
139,N/A,,Solid,<No level>,,
140,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6a,
141,N/A,,Solid,<No level>,,
142,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6b,
143,N/A,,Solid,<No level>,,
144,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a14,
145,N/A,,Solid,<No level>,,
146,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a15,
147,N/A,,Solid,<No level>,,
148,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc95b,
149,N/A,,Solid,<No level>,,
150,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc944,
151,N/A,,Solid,<No level>,,
152,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc945,
153,N/A,,Solid,<No level>,,
154,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc946,
155,N/A,,Solid,<No level>,,
156,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc947,
157,N/A,,Solid,<No level>,,
158,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc940,
159,N/A,,Solid,<No level>,,
160,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc941,
161,N/A,,Solid,<No level>,,
162,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc942,
163,N/A,,Solid,<No level>,,
164,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc943,
165,N/A,,Solid,<No level>,,
166,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc94c,
167,N/A,,Solid,<No level>,,
168,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dcee8,
169,N/A,,Solid,<No level>,,
170,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dcee9,
171,N/A,,Solid,<No level>,,
172,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dceea,
173,N/A,,Solid,<No level>,,
174,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dceeb,
175,N/A,,Solid,<No level>,,
176,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce94,
177,N/A,,Solid,<No level>,,
178,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce95,
179,N/A,,Solid,<No level>,,
180,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce96,
181,N/A,,Solid,<No level>,,
182,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce97,
183,N/A,,Solid,<No level>,,
184,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce90,
185,N/A,,Solid,<No level>,,
186,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce91,
187,N/A,,Solid,<No level>,,
188,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23d,
189,N/A,,Solid,<No level>,,
